Step Number,Junction ID,X Coordinate,Y Coordinate,Junction Type,Vehicle Count
0,11017544842,1408.57,472.77,,0
0,11017544845,1141.96,455.76,,0
0,11017544847,953.07,442.14,,0
0,11020140367,951.42,822.19,,0
0,11020140368,951.9,829.53,,0
0,1112129202,1102.92,1211.36,,0
0,1112129211,1104.34,1218.64,,0
0,1114929971,1103.98,1216.8,,0
0,1114930005,958.47,1349.14,,0
0,1114930008,1107.73,1209.99,,0
0,1114930010,1108.07,1185.31,,0
0,11328998393,830.55,330.37,,0
0,11328998394,887.24,411.88,,0
0,11383117139,1684.45,866.23,,0
0,11383117140,1673.42,882.34,,0
0,11383117141,1685.9,889.28,,0
0,11383117143,1672.9,874.79,,0
0,11383117145,1694.98,873.54,,0
0,11383117156,1599.44,878.96,,0
0,11383117157,1709.78,876.57,,0
0,11383117160,2038.99,853.1,,0
0,11383117161,2039.33,860.9,,0
0,11383117162,2018.8,858.96,,0
0,11383117164,2023.23,750.92,,0
0,11383117165,2146.14,745.43,,0
0,11383117166,1679.47,758.97,,0
0,1234919844,2377.31,432.0,,0
0,1234919876,2368.83,433.2,,0
0,1234920152,1648.88,981.13,,0
0,1235275729,2932.1,565.49,,0
0,1249855051,955.89,1278.48,,0
0,1256002312,912.84,435.47,,0
0,1256002326,707.66,412.37,,0
0,1256002328,532.38,397.56,,0
0,1256002340,1549.44,476.2,,0
0,1258566500,2233.86,448.62,,0
0,1258566525,2291.5,1022.93,,0
0,1258566528,2244.82,448.59,,0
0,1335004141,517.06,380.16,,0
0,1335004147,519.1,396.25,,0
0,1335004162,925.99,436.15,,0
0,1335004176,1563.26,476.33,,0
0,1335004242,947.23,822.57,,0
0,1335004257,947.49,829.88,,0
0,1335004260,927.74,831.28,,0
0,1335004269,1600.04,885.61,,0
0,1335004272,583.02,1019.61,,0
0,1335004273,1610.44,1050.16,,0
0,1335004274,1612.17,1068.2,,0
0,1335004277,600.77,1135.07,,0
0,1335004279,955.03,1204.7,,0
0,1335004280,941.82,1205.98,,0
0,1335004282,986.65,1219.95,,0
0,1335004284,955.51,1228.67,,0
0,1335004290,910.4,1241.91,,0
0,1335004295,977.28,1246.05,,0
0,1335004297,942.94,1255.3,,0
0,1335004300,619.36,1245.08,,0
0,1335004303,651.37,1302.58,,0
0,1335004305,628.1,1321.26,,0
0,1336122520,541.53,398.3,,0
0,1336122536,532.74,404.19,,0
0,1336122538,541.95,404.87,,0
0,1336122561,893.35,433.91,,0
0,1336122563,950.15,437.98,,0
0,1336122564,903.63,440.96,,0
0,1336122565,912.9,442.12,,0
0,1336122566,927.7,442.53,,0
0,1336122571,934.31,443.33,,0
0,1336122576,1264.53,455.32,,0
0,1336122592,913.15,459.68,,0
0,1336122594,927.43,460.26,,0
0,1336122606,1502.26,480.64,,0
0,1336122646,1292.96,1134.95,,0
0,1336122652,625.06,1133.39,,0
0,1336122658,1304.41,1154.54,,0
0,1336122674,1266.33,1165.06,,0
0,1336122701,1284.35,1208.52,,0
0,1336122706,960.03,1210.92,,0
0,1336122711,1279.86,1218.73,,0
0,1336122719,1309.86,1218.99,,0
0,1336122724,1283.79,1229.28,,0
0,1336122726,1266.62,1231.34,,0
0,1336122742,1256.43,1247.31,,0
0,1336139444,1297.65,1172.1,,0
0,1336139467,1305.63,1208.79,,0
0,1346803256,4.07,388.1,,0
0,1586750822,2031.93,1307.08,,0
0,1586750859,2099.01,1272.43,,0
0,1586750861,2304.61,1167.59,,0
0,1586750870,1899.81,1379.15,,0
0,1586750906,2305.27,1163.57,,0
0,1586751021,1846.47,1407.93,,0
0,1586786030,1692.2,1195.85,,0
0,1586786035,1657.05,1194.85,,0
0,1627144199,2938.88,556.55,,0
0,1931903673,2096.47,1266.94,,0
0,1931903674,2029.88,1301.07,,0
0,1931903679,1728.56,1490.18,,0
0,1932717461,1565.4,1079.29,,0
0,1932717467,1596.62,1105.5,,0
0,1932717468,1288.45,1136.33,,0
0,1932717472,1600.3,1169.11,,0
0,1932717473,1293.98,1157.57,,0
0,1932717488,1036.41,1229.72,,0
0,1932717491,2090.47,1270.01,,0
0,1932717492,2093.5,1275.27,,0
0,1932717493,2099.52,1286.74,,0
0,1932717498,1625.57,1311.29,,0
0,1932717500,1609.9,1313.45,,0
0,1932717501,1416.87,1309.77,,0
0,1932717510,737.77,1316.3,,0
0,1932717520,1897.37,1372.77,,0
0,1932717522,1842.76,1400.43,,0
0,1932717528,1722.0,1466.52,,0
0,1994488040,1591.97,1025.94,,0
0,1994488041,1583.29,1048.46,,0
0,1994488042,1563.95,1061.9,,0
0,2384490809,1664.42,476.26,,0
0,2384490815,2069.53,457.48,,0
0,2384490818,2372.24,444.48,,0
0,2384490832,2720.64,483.94,,0
0,2384553838,5.06,396.59,,0
0,2680198050,1529.39,481.26,,0
0,2680198092,1543.44,475.89,,0
0,2680198095,1542.3,462.21,,0
0,2683121483,556.03,830.85,,0
0,2683121491,524.47,396.73,,0
0,2683121501,523.21,380.45,,0
0,2683121542,571.94,826.19,,0
0,279963233,2276.96,1024.18,,0
0,279963239,2150.47,862.74,,0
0,279963273,2163.55,782.48,,0
0,280171180,2158.47,854.68,,0
0,280171182,2149.69,845.78,,0
0,280171183,2145.2,847.21,,0
0,3225669283,2101.17,454.24,,0
0,3225669284,1545.8,487.44,,0
0,3225669295,2077.01,489.66,,0
0,3225669303,1535.74,475.49,,0
0,3225669306,1550.16,497.58,,0
0,3372559461,1588.61,762.76,,0
0,3373865562,1979.02,757.33,,0
0,3373865799,1984.15,821.01,,0
0,3377042045,2043.71,1031.32,,0
0,3388102723,1523.72,1195.43,,0
0,339700335,2257.2,849.23,,0
0,339704112,2157.59,958.06,,0
0,339704819,1583.85,884.44,,0
0,339705670,2148.3,782.56,,0
0,359102145,646.59,1318.38,,0
0,359103290,1594.46,1071.61,,0
0,359103917,2278.0,1036.38,,0
0,359105459,531.64,381.55,,0
0,359106893,920.07,418.85,,0
0,359106900,2065.13,447.06,,0
0,359114059,0.0,392.58,,0
0,359115026,1553.99,463.3,,0
0,3718370008,2229.81,384.64,,0
0,3718370020,2179.44,419.69,,0
0,3718370022,2173.48,424.87,,0
0,3718370227,2244.2,437.44,,0
0,3718370228,2233.31,438.78,,0
0,3718370229,2221.66,439.73,,0
0,3718370231,2170.63,443.08,,0
0,3718370232,2227.68,448.85,,0
0,3750959722,1740.95,572.36,,0
0,3750959723,1746.45,670.9,,0
0,3750959724,1756.69,768.02,,0
0,3750960825,1762.08,876.34,,0
0,3750960826,1978.91,861.69,,0
0,3750960828,2018.79,658.2,,0
0,3750960829,2023.43,755.19,,0
